('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         577407 function calls (554068 primitive calls) in 2.280 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      156    1.346    0.009    1.346    0.009 {method 'read' of '_ssl._SSLSocket' objects}
      156    0.265    0.002    0.265    0.002 {method 'read' of '_io.FileIO' objects}
       24    0.095    0.004    0.095    0.004 {built-in method _imp.create_dynamic}
        1    0.064    0.064    0.064    0.064 {built-in method _socket.gethostbyname}
        1    0.061    0.061    0.061    0.061 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.056    0.056    0.056    0.056 {method 'connect' of '_socket.socket' objects}
 3241/216    0.022    0.000    0.068    0.000 sre_parse.py:469(_parse)
      931    0.019    0.000    0.019    0.000 {built-in method posix.stat}
      156    0.018    0.000    0.018    0.000 {built-in method marshal.loads}
 4006/204    0.012    0.000    0.032    0.000 sre_compile.py:71(_compile)
      156    0.011    0.000    0.276    0.002 <frozen importlib._bootstrap_external>:914(get_data)
        1    0.011    0.011    0.011    0.011 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    81133    0.009    0.000    0.012    0.000 {built-in method builtins.isinstance}
    11990    0.009    0.000    0.009    0.000 {method 'match' of 're.Pattern' objects}
      523    0.009    0.000    0.080    0.000 {built-in method builtins.__build_class__}
5583/1349    0.008    0.000    0.017    0.000 element.py:2192(_matches)
    22257    0.008    0.000    0.008    0.000 sre_parse.py:233(__next)
     1261    0.008    0.000    0.041    0.000 parser.py:301(parse_starttag)
    23472    0.007    0.000    0.010    0.000 sre_parse.py:164(__getitem__)
      907    0.007    0.000    0.011    0.000 sre_compile.py:276(_optimize_charset)
 4013/384    0.006    0.000    0.009    0.000 sre_parse.py:174(getwidth)
        2    0.006    0.003    0.068    0.034 parser.py:134(goahead)
      703    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x102732d50}
51631/46828    0.005    0.000    0.006    0.000 {built-in method builtins.len}
    59866    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
     1262    0.005    0.000    0.012    0.000 element.py:1180(__init__)
 1229/205    0.005    0.000    0.068    0.000 sre_parse.py:411(_parse_sub)
       25    0.004    0.000    0.004    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      514    0.004    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
    15016    0.004    0.000    0.010    0.000 sre_parse.py:254(get)
      100    0.004    0.000    0.004    0.000 {built-in method posix.getcwd}
        1    0.004    0.004    0.004    0.004 {built-in method _scproxy._get_proxy_settings}
